Elevation,SCA,CCA
3600.0,0.06,0.06
3700.0,0.24,0.24
3800.0,0.11,0.11
3900.0,0.12,0.12
4000.0,0.16,0.16
4100.0,0.24,0.24
4200.0,1.53,1.53
4300.0,0.36,0.36
4400.0,0.51,0.51
4500.0,0.90,0.90
4600.0,1.12,1.12
4700.0,1.39,1.39
4800.0,2.05,2.05
4900.0,3.07,3.07
5000.0,4.78,4.78
5100.0,7.90,7.90
5200.0,13.16,13.16
5300.0,21.91,21.91
5400.0,29.03,29.03
5500.0,38.61,38.61
5600.0,49.61,49.61
5700.0,58.51,58.51
5800.0,69.01,69.01
5900.0,74.35,74.35
6000.0,84.58,84.58
6100.0,87.46,87.46
6200.0,89.34,89.34
6300.0,90.32,90.32
