Elevation,Area
100,122.36
200,153.27
300,184.61
400,228.18
500,233.12
600,231.62
700,203.93
800,187.61
900,223.46
1000,205.86
1100,161.21
1200,136.09
1300,124.72
1400,129.44
1500,124.93
1600,136.31
1700,132.23
1800,141.46
1900,138.03
2000,146.61
2100,165.93
2200,165.29
2300,174.09
2400,169.15
2500,177.31
2600,181.17
2700,197.06
2800,192.98
2900,201.78
3000,198.56
3100,220.45
3200,243.85
3300,261.67
3400,264.03
3500,283.14
3600,313.40
3700,344.53
3800,373.51
3900,370.07
4000,359.12
4100,314.05
4200,274.98
4300,219.17
4400,169.79
4500,138.88
4600,110.55
4700,88.23
4800,73.20
4900,57.31
5000,48.73
5100,32.41
5200,19.53
5300,10.09
5400,4.72
5500,3.01
5600,1.93
5700,1.29
5800,1.07
5900,0.00
6000,0.43
