Elevation,SCA,CCA
0,3.3125817703346887,3.3125817703346887
100,6.030493030406228,6.030493030406228
200,8.187165132361615,8.187165132361615
300,9.72544390805542,9.72544390805542
400,11.061089150310625,11.061089150310625
500,11.877049425865842,11.877049425865842
600,13.256874352102741,13.256874352102741
700,15.03251289480194,15.03251289480194
800,17.403826928601497,17.403826928601497
900,21.353420584908022,21.353420584908022
1000,26.86597169031506,26.86597169031506
1100,33.41869672213266,33.41869672213266
1200,38.99562731857617,38.99562731857617
1300,44.71447418631579,44.71447418631579
1400,50.704771509846914,50.704771509846914
1500,56.938474571267385,56.938474571267385
1600,62.868358486462775,62.868358486462775
1700,67.30597956657614,67.30597956657614
1800,67.06518122792332,67.06518122792332
1900,71.49985166201456,71.49985166201456
2000,66.67905438659288,66.67905438659288
2100,59.65693719102567,59.65693719102567
2200,50.47016733009645,50.47016733009645
2300,26.01850687108802,26.01850687108802
2400,28.887171030028174,28.887171030028174
