Elevation,Area
100,25.33
200,46.37
300,154.98
400,245.78
500,277.55
600,321.99
700,370.50
800,396.90
900,412.79
1000,422.66
1100,376.94
1200,334.01
1300,273.69
1400,221.53
1500,193.62
1600,178.60
1700,179.88
1800,171.51
1900,158.42
2000,151.33
2100,141.24
2200,129.44
2300,121.28
2400,112.70
2500,101.96
2600,100.89
2700,101.53
2800,101.53
2900,100.46
3000,105.83
3100,113.34
3200,122.78
3300,134.38
3400,175.81
3500,198.13
3600,200.49
3700,182.46
3800,150.05
3900,96.81
4000,68.26
4100,42.50
4200,25.54
4300,16.96
4400,9.44
4500,7.94
4600,4.08
4700,2.15
4800,1.07
4900,0.21
