system:index,CCA,Elevation,SCA,.geo
0_0,7.49,0.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,7.63,100.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,7.37,200.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_3,6.38,300.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4,5.69,400.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_5,5.26,500.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_6,5.03,600.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_7,4.87,700.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_8,4.85,800.0,0.01,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_9,4.93,900.0,0.01,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_10,5.00,1000.0,0.01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_11,5.11,1100.0,0.03,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_12,5.38,1200.0,0.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_13,5.63,1300.0,0.11,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_14,5.85,1400.0,0.17,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_15,6.06,1500.0,0.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_16,6.41,1600.0,0.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_17,6.90,1700.0,0.61,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_18,7.38,1800.0,1.02,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_19,7.94,1900.0,1.57,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_20,8.34,2000.0,2.17,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_21,8.65,2100.0,2.96,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_22,8.92,2200.0,3.94,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_23,9.13,2300.0,4.99,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_24,9.34,2400.0,6.30,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_25,9.64,2500.0,7.98,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_26,9.88,2600.0,10.09,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_27,10.10,2700.0,12.23,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_28,10.23,2800.0,14.66,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_29,10.30,2900.0,17.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_30,10.48,3000.0,19.71,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_31,10.60,3100.0,22.74,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_32,10.79,3200.0,25.43,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_33,10.97,3300.0,28.09,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_34,11.16,3400.0,30.83,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_35,11.15,3500.0,32.17,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_36,11.00,3600.0,32.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_37,10.82,3700.0,32.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_38,10.74,3800.0,32.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_39,10.63,3900.0,31.72,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_40,10.64,4000.0,31.45,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_41,10.71,4100.0,30.63,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_42,10.78,4200.0,29.13,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_43,10.92,4300.0,28.30,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_44,11.22,4400.0,25.39,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_45,10.88,4500.0,22.62,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_46,11.34,4600.0,22.80,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_47,12.06,4700.0,24.07,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_48,12.82,4800.0,25.10,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_49,12.93,4900.0,26.28,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_50,13.18,5000.0,26.92,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_51,13.40,5100.0,26.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_52,13.44,5200.0,25.68,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_53,13.44,5300.0,23.66,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_54,13.48,5400.0,18.39,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_55,13.92,5500.0,10.81,"{""type"":""MultiPoint"",""coordinates"":[]}"
