COD_CUEN,Latitud,Longitud,Zoom
BNA_010,,,
BNA_023,,,
BNA_024,,,
BNA_030,,,
BNA_038,,,
BNA_043,,,
BNA_045,,,
BNA_047,,,
BNA_051,,,
BNA_052,,,
BNA_054,-33.04752000,-71.44249000,12.6
BNA_057,,,
BNA_060,,,
BNA_071,,,
BNA_073,,,
BNA_081,,,
BNA_083,,,
BNA_091,,,
BNA_094,,,
BNA_101,,,
BNA_103,,,
BNA_104,,,
BNA_105,,,
BNA_106,,,
BNA_107,,,
BNA_108,,,
BNA_110,,,
BNA_111,,,
BNA_112,,,
BNA_113,,,
BNA_114,,,
BNA_115,,,
BNA_116,,,
BNA_117,,,
BNA_118,,,
BNA_119,,,
BNA_120,,,
BNA_121,,,
BNA_122,,,
BNA_123,,,
BNA_124,,,
BNA_125,,,
BNA_126,,,
BNA_127,,,
BNA_128,,,
BNA_129,,,
