Elevation,Area
100,460.01
200,264.46
300,230.54
400,261.24
500,239.99
600,273.48
700,376.08
800,303.10
900,236.13
1000,201.99
1100,202.21
1200,203.28
1300,180.96
1400,160.78
1500,142.75
1600,129.01
1700,129.22
1800,124.72
1900,119.99
2000,118.49
2100,107.54
2200,107.11
2300,104.11
2400,111.62
2500,107.54
2600,111.84
2700,112.70
2800,119.78
2900,127.29
3000,144.04
3100,149.83
3200,164.21
3300,179.88
3400,184.18
3500,198.77
3600,191.90
3700,172.37
3800,151.12
3900,106.26
4000,82.86
4100,63.32
4200,45.29
4300,36.71
4400,22.97
4500,15.46
4600,9.87
4700,6.23
4800,3.65
4900,3.43
5000,2.36
5100,1.29
5200,1.93
5300,1.29
5400,1.50
5500,0.86
5600,0.21
5700,0.43
5800,0.21
