system:index,CCA,Elevation,Month,SCA,.geo
0_0_0_0,4.37,3600.0,1.0,0.08,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0_1,5.52,3700.0,1.0,0.24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0_2,6.97,3800.0,1.0,0.17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0_3,8.70,3900.0,1.0,0.19,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0_4,9.90,4000.0,1.0,0.19,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0_5,11.73,4100.0,1.0,0.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0_6,13.19,4200.0,1.0,1.70,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0_7,15.82,4300.0,1.0,0.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0_8,17.65,4400.0,1.0,0.34,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0_9,19.15,4500.0,1.0,0.64,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0_10,19.39,4600.0,1.0,0.90,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0_11,20.35,4700.0,1.0,1.41,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0_12,22.10,4800.0,1.0,2.98,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0_13,23.71,4900.0,1.0,5.59,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0_14,25.33,5000.0,1.0,9.47,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0_15,26.81,5100.0,1.0,15.26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0_16,28.47,5200.0,1.0,22.99,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_0_17,29.61,5300.0,1.0,33.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_0_18,30.14,5400.0,1.0,41.26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_0_19,29.68,5500.0,1.0,49.39,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_0_20,30.07,5600.0,1.0,58.07,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_0_21,29.82,5700.0,1.0,63.72,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_0_22,30.01,5800.0,1.0,70.94,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_0_23,31.35,5900.0,1.0,75.66,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_0_24,31.97,6000.0,1.0,80.83,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_0_25,37.84,6100.0,1.0,85.03,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_0_26,36.01,6200.0,1.0,84.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27_0_27,31.31,6300.0,1.0,80.83,"{""type"":""MultiPoint"",""coordinates"":[]}"
