COD_CUEN,1,2,3,4,5
010,1.07,0,0,0,0.00
023,5.73,0,0,0,0.00
024,15.04,0,0,0,0.00
030,18.74,0,0,0,0.00
038,2.76,0,0,0,0.00
043,0.20,0,0,0,0.00
045,0.00,0,0,0,3.86
047,0.00,0,0,0,5.65
051,0.00,0,0,0,4.39
052,0.00,0,0,0,3.44
054,0.00,0,0,0,5.31
057,0.00,0,0,0,4.87
060,0.00,0,0,0,3.68
071,0.00,0,0,0,4.67
073,0.00,0,0,0,3.82
081,0.00,0,0,0,4.18
083,0.00,0,0,0,3.92
091,0.00,0,0,0,1.02
094,0.00,0,0,0,3.63
101,0.00,0,0,0,3.71
103,0.00,0,0,0,4.71
104,0.00,0,0,0,6.45
105,0.00,0,0,0,10.85
107,0.00,0,0,0,10.39
108,0.00,0,0,0,11.76
110,0.00,0,0,0,8.49
112,0.00,0,0,0,4.16
111,0.00,0,0,0,8.48
113,0.00,0,0,0,5.25
114,0.00,0,0,0,5.55
115,0.00,0,0,0,3.31
118,0.00,0,0,0,0.59
116,0.00,0,0,0,2.91
119,0.00,0,0,0,7.45
121,0.00,0,0,0,0.88
120,0.00,0,0,0,1.82
122,0.00,0,0,0,7.55
123,0.00,0,0,0,1.77
124,0.00,0,0,0,5.73
125,0.00,0,0,0,5.13
128,0.00,0,0,0,4.76
127,0.00,0,0,0,2.10
117,0.00,0,0,0,3.70
126,0.00,0,0,0,7.06
106,0.00,0,0,0,12.29
129,0.00,0,0,0,0.28
