Question,1,2,3,4,5
010,0,0,232.45,74.86,3.80
023,0,0,634.15,39.50,0.00
024,0,0,2505.39,148.44,0.00
030,0,0,10582.41,620.87,10.66
038,0,0,3417.26,472.18,2.45
043,0,0,3064.65,745.83,0.41
045,0,0,2147.55,896.44,0.00
047,0,0,1206.44,1141.56,0.00
051,0,0,276.30,34.71,0.00
052,0,0,186.45,52.94,0.00
054,0,0,1084.06,1887.14,32.94
057,0,0,2038.35,3681.51,216.95
060,0,0,1310.80,2432.40,181.95
071,0,0,775.80,1487.48,10.16
073,0,0,2509.94,3886.33,4.51
081,0,0,1418.12,576.55,1.03
083,0,0,6161.29,2067.81,36.57
091,0,0,513.98,163.34,6.01
094,0,0,1503.35,312.52,24.42
101,0,0,663.60,81.46,27.21
103,0,0,1884.23,122.55,9.63
104,0,0,2402.35,149.66,48.10
105,0,0,1898.00,332.63,61.55
106,0,0,3080.24,560.79,92.60
107,0,0,2448.26,937.32,41.32
108,0,0,1494.48,215.80,31.35
110,0,0,4911.66,1565.05,39.12
111,0,0,8500.13,1281.23,104.61
112,0,0,2719.09,0.00,0.00
113,0,0,8537.28,1329.07,12.95
114,0,0,13193.94,3971.00,2552.31
115,0,0,8505.34,6522.12,1960.81
116,0,0,1464.49,1599.07,127.54
117,0,0,2603.00,2515.70,2398.87
118,0,0,4891.79,2765.08,1227.17
119,0,0,135.73,116.63,19.35
120,0,0,3307.91,3539.96,3976.32
121,0,0,6639.39,2502.49,3.34
122,0,0,6015.23,4238.39,2442.42
123,0,0,4704.34,2257.36,0.93
124,0,0,7307.67,4313.92,296.60
125,0,0,4363.66,2440.34,0.26
126,0,0,3706.18,351.14,2086.11
127,0,0,3481.36,3213.59,241.64
128,0,0,9010.34,5096.77,2452.38
129,0,0,5543.61,3378.39,213.84
