Question,1,2,3,4,5
010,0.21855244052966566,0,0,0,0
023,0,0,0,0,0.17886860352839948
024,0,0,0,0,0.04536297533188669
030,0.4676558233816744,0,0,0,0
038,2.2503638221201783,0,0,0,0
043,38.702792981570944,0,0,0,0
045,30.645760414143613,0,0,0,0
047,34.40208586610293,0,0,0,0
051,10.876806019597007,0,0,0,0
052,11.477001036732496,0,0,0,0
054,58.223956218746274,0,0,0,0
057,55.9082043954362,0,0,0,0
060,37.53911224840894,0,0,0,0
071,26.73580902797572,0,0,0,0
073,8.767226045470446,0,0,0,0
081,0,0,0,0,0.7501435377283947
083,0,0,0,0,0.6980879929829799
091,0.791225768972681,0,0,0,0
094,1.4265912687275433,0,0,0,0
101,0,0,0,0,0.4033839527483516
103,0,0,0,0,1.8149862442154108
104,0,0,0,0,3.6625251822213976
105,3.6915822919912253,0,0,0,0
106,0,0,0,0,8.054504253981216
107,5.567337767873244,0,0,0,0
108,0,0,0,0,8.028271272498074
110,14.973556029136555,0,0,0,0
111,0,0,0,0,6.772944841969419
112,0,0,0,0,4.992853926687531
113,11.971053241778119,0,0,0,0
114,0,0,0,0,5.269435127145733
115,12.633947760455632,0,0,0,0
116,6.358684595429355,0,0,0,0
117,0,0,0,0,5.303322098686754
118,0.1642842399574619,0,0,0,0
119,4.797288575154063,0,0,0,0
120,0.5608238676742312,0,0,0,0
121,0,0,0,0,2.402862754255541
122,0,0,0,0,1.3852020932317777
123,0,0,0,0,0.8271636628806445
124,0,0,0,0,3.213813978540528
125,0,0,0,0,5.44537989492778
126,0,0,0,0,10.839881169758653
127,0,0,0,0,2.2141062306768617
128,0,0,0,0,1.3069450743134963
129,0,0,0,0,0.4012654055456002
