Question,1,2,3,4,5
010,24.94,0,0,0,0.00
023,-0.00,0,0,0,8.13
024,-0.00,0,0,0,2.87
030,74.37,0,0,0,0.00
038,220.16,0,0,0,0.00
043,3657.46,0,0,0,0.00
045,3448.96,0,0,0,0.00
047,2540.23,0,0,0,0.00
051,209.76,0,0,0,0.00
052,224.58,0,0,0,0.00
054,4164.45,0,0,0,0.00
057,8371.56,0,0,0,0.00
060,5070.07,0,0,0,0.00
071,1627.42,0,0,0,0.00
073,1793.92,0,0,0,0.00
081,-0.00,0,0,0,87.11
083,-0.00,0,0,0,171.75
091,102.32,0,0,0,0.00
094,111.70,0,0,0,0.00
101,-0.00,0,0,0,50.77
103,-0.00,0,0,0,274.50
104,-0.00,0,0,0,467.50
105,90.07,0,0,0,0.00
106,-0.00,0,0,0,440.34
107,198.75,0,0,0,0.00
108,-0.00,0,0,0,187.53
110,999.04,0,0,0,0.00
111,-0.00,0,0,0,1070.02
112,-0.00,0,0,0,1138.72
113,1218.01,0,0,0,0.00
114,-0.00,0,0,0,1739.23
115,2297.03,0,0,0,0.00
116,253.11,0,0,0,0.00
117,-0.00,0,0,0,352.83
118,4.76,0,0,0,0.00
119,11.74,0,0,0,0.00
120,71.88,0,0,0,0.00
121,-0.00,0,0,0,487.26
122,-0.00,0,0,0,207.86
123,-0.00,0,0,0,220.98
124,-0.00,0,0,0,619.89
125,-0.00,0,0,0,940.27
126,-0.00,0,0,0,890.29
127,-0.00,0,0,0,645.64
128,-0.00,0,0,0,538.49
129,-0.00,0,0,0,143.98
