Question,1,2,3,4,5
010,0.00,0,0,0,6.00
023,84.00,0,0,0,0.00
024,1.00,0,0,0,0.00
030,0.00,0,0,0,235.00
038,0.00,0,0,0,311.00
043,0.00,0,0,0,639.00
045,0.00,0,0,0,483.00
047,0.00,0,0,0,364.00
051,0.00,0,0,0,394.00
052,0.00,0,0,0,380.00
054,0.00,0,0,0,260.00
057,0.00,0,0,0,279.00
060,0.00,0,0,0,127.00
071,0.00,0,0,0,155.00
073,0.00,0,0,0,38.00
081,105.00,0,0,0,0.00
083,84.00,0,0,0,0.00
091,4.00,0,0,0,0.00
094,95.00,0,0,0,0.00
101,108.00,0,0,0,0.00
103,148.00,0,0,0,0.00
104,194.00,0,0,0,0.00
105,124.00,0,0,0,0.00
106,99.00,0,0,0,0.00
107,78.00,0,0,0,0.00
108,55.00,0,0,0,0.00
110,67.00,0,0,0,0.00
111,93.00,0,0,0,0.00
112,56.00,0,0,0,0.00
113,100.00,0,0,0,0.00
114,77.00,0,0,0,0.00
115,109.00,0,0,0,0.00
116,14.00,0,0,0,0.00
117,66.00,0,0,0,0.00
118,13.00,0,0,0,0.00
119,26.00,0,0,0,0.00
120,22.00,0,0,0,0.00
121,7.00,0,0,0,0.00
122,146.00,0,0,0,0.00
123,3.00,0,0,0,0.00
124,10.00,0,0,0,0.00
125,27.00,0,0,0,0.00
126,60.00,0,0,0,0.00
127,4.00,0,0,0,0.00
128,8.00,0,0,0,0.00
129,4.00,0,0,0,0.00
