Question,1,2,3
010,0.03,0.76,2.07
023,0.00,0.96,15.74
024,0.00,2.81,46.92
030,0.06,3.93,67.75
038,0.02,4.71,34.91
043,0.01,7.39,31.30
045,0.00,7.53,18.47
047,0.00,14.80,15.87
051,0.00,1.57,13.79
052,0.00,2.58,9.33
054,0.46,25.48,14.79
057,1.42,24.04,13.34
060,1.31,17.70,9.52
071,0.19,23.54,12.28
073,0.02,18.35,12.00
081,0.01,5.02,12.51
083,0.14,8.38,25.50
091,0.05,1.29,4.10
094,0.31,3.70,17.69
101,0.26,0.76,6.37
103,0.06,0.78,12.05
104,0.36,1.10,18.10
105,1.87,10.44,61.07
106,1.64,9.55,51.71
107,1.10,22.74,59.91
108,1.02,8.02,54.90
110,0.54,20.20,63.79
111,0.76,9.40,62.82
112,0.00,0.00,23.11
113,0.10,11.22,74.73
114,9.49,14.77,48.39
115,9.50,30.87,40.73
116,3.31,41.04,37.49
117,30.78,33.03,34.40
118,9.67,23.11,40.80
119,7.05,42.29,50.18
120,31.50,28.09,26.26
121,0.03,18.32,48.88
122,14.98,26.21,37.18
123,0.01,18.45,38.32
124,1.81,26.73,45.29
125,0.00,20.28,35.27
126,21.47,3.59,39.24
127,2.09,27.24,29.59
128,8.25,17.11,29.50
129,1.71,26.61,43.57
