Question,1,2,3,4,5
010,0,0,245.10,87.27,3.47
023,0,0,666.85,39.80,0.00
024,0,0,2575.93,159.54,0.00
030,0,0,10714.64,630.04,11.34
038,0,0,3440.74,454.60,2.04
043,0,0,3091.84,721.86,0.59
045,0,0,2160.15,879.07,0.00
047,0,0,1196.52,1132.37,0.00
051,0,0,269.35,31.36,0.00
052,0,0,180.32,50.88,0.00
054,0,0,1069.69,1870.62,34.06
057,0,0,2011.30,3671.71,220.23
060,0,0,1287.32,2433.99,179.54
071,0,0,774.02,1484.08,10.98
073,0,0,2513.21,3844.32,4.04
081,0,0,1409.65,560.73,1.40
083,0,0,6214.35,2007.93,32.50
091,0,0,522.09,163.07,5.60
094,0,0,1488.73,309.98,27.03
101,0,0,631.28,75.96,26.71
103,0,0,1808.33,118.74,8.42
104,0,0,2319.70,140.44,47.54
105,0,0,1882.41,321.32,57.71
106,0,0,3045.12,550.77,98.16
107,0,0,2442.43,917.62,44.42
108,0,0,1472.82,208.39,26.60
110,0,0,4894.65,1540.44,40.95
111,0,0,8463.79,1246.46,101.34
112,0,0,2649.05,0.00,0.00
113,0,0,8542.81,1288.18,11.39
114,0,0,13092.11,3885.23,2531.39
115,0,0,8516.40,6445.66,1982.43
116,0,0,1478.36,1574.43,127.90
117,0,0,2628.13,2480.39,2310.41
118,0,0,4898.06,2732.75,1148.76
119,0,0,136.78,114.74,19.20
120,0,0,3333.18,3472.85,3961.00
121,0,0,6716.48,2374.21,3.40
122,0,0,5947.11,4141.94,2427.57
123,0,0,4721.04,2211.42,0.77
124,0,0,7329.74,4244.09,288.03
125,0,0,4348.97,2415.37,0.60
126,0,0,3595.57,344.69,2079.75
127,0,0,3490.04,3139.99,245.09
128,0,0,8861.03,5083.67,2448.29
129,0,0,5535.12,3361.30,215.70
