Question,1,2,3,4,5
010,54.26,0,0,0,0.00
023,-0.00,0,0,0,6.30
024,-0.00,0,0,0,2.06
030,127.20,0,0,0,0.00
038,522.60,0,0,0,0.00
043,4186.45,0,0,0,0.00
045,4119.12,0,0,0,0.00
047,2896.55,0,0,0,0.00
051,239.21,0,0,0,0.00
052,240.50,0,0,0,0.00
054,4417.45,0,0,0,0.00
057,8844.71,0,0,0,0.00
060,5349.38,0,0,0,0.00
071,1845.39,0,0,0,0.00
073,2507.83,0,0,0,0.00
081,84.50,0,0,0,0.00
083,228.79,0,0,0,0.00
091,127.03,0,0,0,0.00
094,180.59,0,0,0,0.00
101,-0.00,0,0,0,33.15
103,-0.00,0,0,0,168.54
104,-0.00,0,0,0,346.69
105,228.27,0,0,0,0.00
106,-0.00,0,0,0,308.69
107,278.23,0,0,0,0.00
108,-0.00,0,0,0,165.46
110,1276.94,0,0,0,0.00
111,-0.00,0,0,0,747.81
112,-0.00,0,0,0,946.28
113,1693.50,0,0,0,0.00
114,-0.00,0,0,0,972.46
115,2807.34,0,0,0,0.00
116,275.86,0,0,0,0.00
117,-0.00,0,0,0,224.01
118,142.41,0,0,0,0.00
119,17.64,0,0,0,0.00
120,127.43,0,0,0,0.00
121,-0.00,0,0,0,265.98
122,-0.00,0,0,0,200.52
123,-0.00,0,0,0,171.52
124,-0.00,0,0,0,445.30
125,-0.00,0,0,0,959.96
126,-0.00,0,0,0,689.29
127,-0.00,0,0,0,755.68
128,-0.00,0,0,0,921.00
129,-0.00,0,0,0,246.04
