Question,1,2,3,4,5
010,6,0,0,0,0
023,0,0,0,0,101
024,0,0,0,0,45
030,129,0,0,0,0
038,266,0,0,0,0
043,684,0,0,0,0
045,518,0,0,0,0
047,449,0,0,0,0
051,492,0,0,0,0
052,527,0,0,0,0
054,337,0,0,0,0
057,354,0,0,0,0
060,195,0,0,0,0
071,184,0,0,0,0
073,70,0,0,0,0
081,0,0,0,0,126
083,0,0,0,0,93
091,2,0,0,0,0
094,0,0,0,0,82
101,0,0,0,0,13
103,0,0,0,0,68
104,0,0,0,0,160
105,0,0,0,0,99
106,0,0,0,0,131
107,0,0,0,0,80
108,0,0,0,0,109
110,0,0,0,0,149
111,0,0,0,0,191
112,0,0,0,0,74
113,0,0,0,0,103
114,0,0,0,0,108
115,0,0,0,0,82
116,0,0,0,0,48
117,0,0,0,0,60
118,0,0,0,0,17
119,0,0,0,0,80
120,0,0,0,0,23
121,0,0,0,0,9
122,0,0,0,0,87
123,0,0,0,0,4
124,0,0,0,0,19
125,0,0,0,0,49
126,0,0,0,0,77
127,0,0,0,0,17
128,0,0,0,0,16
129,0,0,0,0,7
