Year,Elevation,SCA,CCA
2000.0,0.0,7.38,34.04
2000.0,100.0,17.88,67.75
2000.0,200.0,24.04,76.67
2000.0,300.0,30.61,83.58
2000.0,400.0,38.09,89.09
2000.0,500.0,46.24,92.36
2000.0,600.0,56.53,93.91
2000.0,700.0,65.15,94.69
2000.0,800.0,71.32,95.29
2000.0,900.0,68.38,96.00
2000.0,1000.0,68.84,96.55
2000.0,1100.0,71.50,97.45
2000.0,1200.0,82.03,96.50
2001.0,0.0,4.97,29.99
2001.0,100.0,11.20,61.02
2001.0,200.0,14.89,69.71
2001.0,300.0,19.70,76.55
2001.0,400.0,25.34,81.99
2001.0,500.0,34.02,86.23
2001.0,600.0,47.74,89.32
2001.0,700.0,59.04,90.73
2001.0,800.0,67.51,92.03
2001.0,900.0,69.96,93.95
2001.0,1000.0,69.29,94.93
2001.0,1100.0,65.83,96.32
2001.0,1200.0,76.28,93.55
2002.0,0.0,7.57,26.18
2002.0,100.0,17.67,57.21
2002.0,200.0,23.92,67.14
2002.0,300.0,30.89,75.35
2002.0,400.0,38.66,82.29
2002.0,500.0,45.75,87.00
2002.0,600.0,54.05,89.58
2002.0,700.0,62.23,91.00
2002.0,800.0,67.51,92.30
2002.0,900.0,72.21,93.91
2002.0,1000.0,74.41,94.78
2002.0,1100.0,76.07,96.50
2002.0,1200.0,71.81,94.20
2003.0,0.0,7.36,18.90
2003.0,100.0,16.28,46.22
2003.0,200.0,21.43,56.35
2003.0,300.0,26.97,65.43
2003.0,400.0,33.26,73.43
2003.0,500.0,40.62,79.07
2003.0,600.0,50.52,82.65
2003.0,700.0,60.89,85.01
2003.0,800.0,70.14,87.35
2003.0,900.0,80.54,90.22
2003.0,1000.0,84.74,91.92
2003.0,1100.0,90.28,94.70
2003.0,1200.0,87.07,91.03
2004.0,0.0,7.16,18.09
2004.0,100.0,15.29,44.32
2004.0,200.0,19.98,53.32
2004.0,300.0,25.63,61.49
2004.0,400.0,32.41,68.69
2004.0,500.0,40.05,74.28
2004.0,600.0,48.94,78.48
2004.0,700.0,58.34,81.27
2004.0,800.0,67.09,84.32
2004.0,900.0,75.22,88.25
2004.0,1000.0,81.08,90.34
2004.0,1100.0,83.79,94.07
2004.0,1200.0,79.14,91.72
2005.0,0.0,7.26,17.95
2005.0,100.0,15.71,44.14
2005.0,200.0,20.41,53.65
2005.0,300.0,26.00,62.20
2005.0,400.0,32.24,70.02
2005.0,500.0,38.53,76.33
2005.0,600.0,46.33,80.46
2005.0,700.0,55.67,83.17
2005.0,800.0,65.41,86.02
2005.0,900.0,74.61,89.35
2005.0,1000.0,77.54,91.17
2005.0,1100.0,77.51,94.19
2005.0,1200.0,72.11,92.06
2006.0,0.0,7.57,17.32
2006.0,100.0,16.45,43.07
2006.0,200.0,21.13,52.91
2006.0,300.0,26.52,61.84
2006.0,400.0,32.33,69.92
2006.0,500.0,39.35,76.21
2006.0,600.0,48.00,80.56
2006.0,700.0,56.43,83.29
2006.0,800.0,64.90,85.99
2006.0,900.0,76.13,89.09
2006.0,1000.0,81.32,90.65
2006.0,1100.0,86.04,93.05
2006.0,1200.0,76.51,90.10
2007.0,0.0,8.90,21.05
2007.0,100.0,21.21,51.09
2007.0,200.0,28.17,61.51
2007.0,300.0,35.51,70.74
2007.0,400.0,43.27,78.98
2007.0,500.0,50.47,84.45
2007.0,600.0,58.39,87.61
2007.0,700.0,67.03,89.60
2007.0,800.0,74.12,91.55
2007.0,900.0,79.77,93.57
2007.0,1000.0,81.46,94.76
2007.0,1100.0,80.18,96.58
2007.0,1200.0,83.18,95.16
2008.0,0.0,9.06,17.98
2008.0,100.0,20.28,44.32
2008.0,200.0,26.50,53.94
2008.0,300.0,33.04,62.89
2008.0,400.0,40.11,71.06
2008.0,500.0,47.75,77.36
2008.0,600.0,56.47,81.49
2008.0,700.0,64.39,83.87
2008.0,800.0,71.55,86.40
2008.0,900.0,79.78,89.28
2008.0,1000.0,84.52,91.12
2008.0,1100.0,88.67,94.11
2008.0,1200.0,84.83,92.23
2009.0,0.0,8.63,20.77
2009.0,100.0,20.41,50.71
2009.0,200.0,26.74,61.20
2009.0,300.0,33.27,70.19
2009.0,400.0,39.65,78.02
2009.0,500.0,45.55,83.21
2009.0,600.0,53.05,86.43
2009.0,700.0,61.04,88.22
2009.0,800.0,68.28,90.05
2009.0,900.0,76.79,92.15
2009.0,1000.0,82.17,93.45
2009.0,1100.0,86.63,95.74
2009.0,1200.0,83.67,94.15
2010.0,0.0,7.63,18.75
2010.0,100.0,17.19,46.18
2010.0,200.0,23.25,56.17
2010.0,300.0,30.52,65.19
2010.0,400.0,39.25,73.46
2010.0,500.0,48.85,79.71
2010.0,600.0,59.36,84.08
2010.0,700.0,68.97,86.58
2010.0,800.0,74.56,89.11
2010.0,900.0,82.00,91.38
2010.0,1000.0,86.32,92.76
2010.0,1100.0,88.64,95.25
2010.0,1200.0,86.37,93.54
2011.0,0.0,8.15,18.56
2011.0,100.0,18.16,45.76
2011.0,200.0,23.35,55.25
2011.0,300.0,28.60,63.77
2011.0,400.0,33.96,71.66
2011.0,500.0,39.81,77.69
2011.0,600.0,46.41,81.94
2011.0,700.0,54.35,84.83
2011.0,800.0,61.90,87.82
2011.0,900.0,68.39,90.81
2011.0,1000.0,67.18,92.66
2011.0,1100.0,65.61,95.66
2011.0,1200.0,65.75,93.62
2012.0,0.0,8.20,21.80
2012.0,100.0,18.59,52.57
2012.0,200.0,24.91,62.62
2012.0,300.0,32.49,71.08
2012.0,400.0,40.72,78.47
2012.0,500.0,48.82,83.34
2012.0,600.0,58.11,86.15
2012.0,700.0,65.90,87.96
2012.0,800.0,72.62,89.84
2012.0,900.0,80.39,91.94
2012.0,1000.0,83.84,93.16
2012.0,1100.0,86.95,95.48
2012.0,1200.0,84.82,93.74
2013.0,0.0,7.66,19.81
2013.0,100.0,17.39,48.32
2013.0,200.0,22.39,58.17
2013.0,300.0,27.53,66.87
2013.0,400.0,32.84,74.54
2013.0,500.0,38.79,79.93
2013.0,600.0,47.06,83.46
2013.0,700.0,56.10,85.74
2013.0,800.0,64.86,88.10
2013.0,900.0,74.54,90.87
2013.0,1000.0,79.00,92.39
2013.0,1100.0,80.07,94.99
2013.0,1200.0,74.44,92.70
2014.0,0.0,9.24,19.40
2014.0,100.0,21.67,47.37
2014.0,200.0,29.03,57.18
2014.0,300.0,37.52,65.97
2014.0,400.0,47.24,74.00
2014.0,500.0,57.60,79.95
2014.0,600.0,68.19,83.67
2014.0,700.0,76.90,85.74
2014.0,800.0,83.02,87.77
2014.0,900.0,87.16,89.92
2014.0,1000.0,90.59,91.18
2014.0,1100.0,90.21,94.24
2014.0,1200.0,85.84,90.75
2015.0,0.0,8.85,20.83
