Year,Elevation,SCA,CCA
2000.0,1000.0,0.00,50.34
2000.0,1100.0,0.00,51.22
2000.0,1200.0,0.00,51.48
2000.0,1300.0,0.00,51.44
2000.0,1400.0,0.00,51.80
2000.0,1500.0,0.00,51.69
2000.0,1600.0,0.00,51.02
2000.0,1700.0,0.00,51.08
2000.0,1800.0,0.00,51.48
2000.0,1900.0,0.00,51.17
2000.0,2000.0,0.00,51.35
2000.0,2100.0,0.00,51.31
2000.0,2200.0,0.00,51.48
2000.0,2300.0,0.00,52.06
2000.0,2400.0,0.00,52.45
2000.0,2500.0,0.00,52.79
2000.0,2600.0,0.00,53.08
2000.0,2700.0,0.00,53.69
2000.0,2800.0,0.00,54.17
2000.0,2900.0,0.00,54.73
2000.0,3000.0,0.00,55.54
2000.0,3100.0,0.00,56.04
2000.0,3200.0,0.00,57.09
2000.0,3300.0,0.00,58.19
2000.0,3400.0,0.00,59.55
2000.0,3500.0,0.00,61.40
2000.0,3600.0,0.00,63.16
2000.0,3700.0,0.01,64.79
2000.0,3800.0,0.01,66.40
2000.0,3900.0,0.02,67.69
2000.0,4000.0,0.02,68.47
2000.0,4100.0,0.05,69.22
2000.0,4200.0,0.09,69.77
2000.0,4300.0,0.16,69.85
2000.0,4400.0,0.37,68.74
2000.0,4500.0,1.07,67.63
2000.0,4600.0,3.62,66.90
2000.0,4700.0,9.88,66.10
2000.0,4800.0,21.91,65.77
2000.0,4900.0,40.66,64.93
2000.0,5000.0,55.11,63.90
2000.0,5100.0,66.73,61.79
2000.0,5200.0,75.02,61.35
2000.0,5300.0,77.85,61.04
2000.0,5400.0,80.78,59.60
2000.0,5500.0,83.61,59.81
2000.0,5600.0,84.05,59.04
2000.0,5700.0,86.29,59.60
2000.0,5800.0,85.13,57.13
2000.0,5900.0,86.43,57.90
2000.0,6000.0,86.09,57.98
2000.0,6100.0,82.28,50.86
2000.0,6200.0,81.22,46.49
2001.0,1000.0,0.00,52.19
2001.0,1100.0,0.00,53.96
2001.0,1200.0,0.00,53.87
2001.0,1300.0,0.00,54.31
2001.0,1400.0,0.00,54.76
2001.0,1500.0,0.00,55.04
2001.0,1600.0,0.00,54.76
2001.0,1700.0,0.00,55.26
2001.0,1800.0,0.01,56.14
2001.0,1900.0,0.00,56.07
2001.0,2000.0,0.00,56.45
2001.0,2100.0,0.00,56.65
2001.0,2200.0,0.01,57.12
2001.0,2300.0,0.01,57.79
2001.0,2400.0,0.01,58.31
2001.0,2500.0,0.01,58.77
2001.0,2600.0,0.00,59.25
2001.0,2700.0,0.00,60.09
2001.0,2800.0,0.00,60.87
2001.0,2900.0,0.00,61.58
