Year,Elevation,SCA,CCA
2000.0,0.0,0.02,31.56
2000.0,100.0,0.00,30.86
2000.0,200.0,0.01,28.15
2000.0,300.0,0.01,27.73
2000.0,400.0,0.00,26.56
2000.0,500.0,0.00,25.86
2000.0,600.0,0.00,25.84
2000.0,700.0,0.02,24.89
2000.0,800.0,0.02,24.54
2000.0,900.0,0.02,24.53
2000.0,1000.0,0.04,24.62
2000.0,1100.0,0.10,24.82
2000.0,1200.0,0.27,25.05
2000.0,1300.0,0.66,25.80
2000.0,1400.0,1.30,26.77
2000.0,1500.0,2.40,27.64
2000.0,1600.0,4.07,28.35
2000.0,1700.0,6.00,28.73
2000.0,1800.0,8.58,28.94
2000.0,1900.0,11.42,28.96
2000.0,2000.0,15.10,29.09
2000.0,2100.0,19.17,29.14
2000.0,2200.0,23.24,29.24
2000.0,2300.0,26.59,29.23
2000.0,2400.0,30.33,29.36
2000.0,2500.0,34.24,29.56
2000.0,2600.0,37.98,29.75
2000.0,2700.0,41.63,29.91
2000.0,2800.0,45.20,29.84
2000.0,2900.0,49.17,29.85
2000.0,3000.0,52.79,29.78
2000.0,3100.0,56.09,29.78
2000.0,3200.0,59.13,29.56
2000.0,3300.0,62.17,29.37
2000.0,3400.0,64.59,29.25
2000.0,3500.0,66.56,29.36
2000.0,3600.0,68.64,29.42
2000.0,3700.0,70.84,29.58
2000.0,3800.0,73.00,29.81
2000.0,3900.0,74.92,30.12
2000.0,4000.0,77.05,30.55
2000.0,4100.0,79.00,30.93
2000.0,4200.0,80.91,31.31
2000.0,4300.0,82.94,31.66
2000.0,4400.0,85.49,32.30
2000.0,4500.0,87.68,33.00
2000.0,4600.0,89.14,33.28
2000.0,4700.0,89.95,33.59
2000.0,4800.0,91.15,33.95
2000.0,4900.0,93.02,34.43
2000.0,5000.0,94.21,35.18
2000.0,5100.0,95.20,35.94
2000.0,5200.0,96.00,37.66
2000.0,5300.0,96.86,38.22
2000.0,5400.0,97.56,40.33
2000.0,5500.0,97.92,43.16
2000.0,5600.0,97.54,41.58
2000.0,5700.0,95.15,39.05
2000.0,5800.0,96.57,40.92
2000.0,5900.0,96.99,41.89
2000.0,6000.0,95.00,43.39
2000.0,6100.0,94.83,45.81
2000.0,6200.0,90.63,45.91
2000.0,6300.0,93.25,45.97
