Year,Month,SCA,CCA
2000,1,0,
2000,2,0.46,52.92
2000,3,1.81,48.74
2000,4,8.77,50.60
2000,5,14.33,45.01
2000,6,34.32,43.16
2000,7,33.76,45.43
2000,8,8.63,53.55
2000,9,13.12,50.20
2000,10,5.52,50.66
2000,11,1.18,53.10
2000,12,1.00,53.51
2001,1,0.63,52.69
2001,2,1.66,50.83
2001,3,4.80,51.45
2001,4,7.03,50.75
2001,5,12.80,41.33
2001,6,30.33,46.46
2001,7,37.10,45.22
2001,8,24.07,46.90
2001,9,8.77,49.28
2001,10,3.44,50.00
2001,11,1.35,52.32
2001,12,0.64,50.01
2002,1,1.21,51.67
2002,2,1.59,48.36
2002,3,1.93,44.61
2002,4,7.18,50.58
2002,5,35.36,46.10
2002,6,29.12,49.67
2002,7,34.38,33.40
2002,8,18.98,39.74
2002,9,15.51,37.04
2002,10,7.84,38.07
2002,11,3.40,39.65
2002,12,1.99,42.44
2003,1,2.58,41.89
2003,2,2.83,38.60
2003,3,3.68,34.22
2003,4,6.55,31.72
2003,5,21.02,35.51
2003,6,35.21,29.59
2003,7,29.88,37.92
2003,8,24.28,33.42
2003,9,14.85,35.97
2003,10,7.43,39.34
2003,11,3.12,41.77
2003,12,2.27,42.85
2004,1,3.17,40.59
2004,2,1.69,36.56
2004,3,4.32,34.00
2004,4,12.10,36.00
2004,5,18.58,30.32
2004,6,26.88,32.72
2004,7,37.78,35.77
2004,8,25.65,39.08
2004,9,13.51,43.12
2004,10,5.36,38.07
2004,11,2.35,34.63
2004,12,2.09,38.98
2005,1,2.60,40.54
2005,2,1.61,30.63
2005,3,4.99,37.68
2005,4,10.21,41.26
2005,5,28.41,35.48
2005,6,40.91,32.70
2005,7,35.07,32.58
2005,8,28.47,35.91
2005,9,10.89,36.19
2005,10,4.27,30.99
2005,11,1.97,34.79
2005,12,1.99,39.96
2006,1,1.65,37.39
2006,2,2.55,33.86
2006,3,6.24,38.65
2006,4,15.71,39.33
2006,5,19.58,34.19
2006,6,34.70,25.75
2006,7,35.41,29.50
2006,8,24.46,37.52
2006,9,12.30,41.92
2006,10,6.09,36.46
2006,11,3.61,38.64
2006,12,2.08,39.55
2007,1,1.76,39.93
2007,2,2.99,40.02
2007,3,3.87,38.04
2007,4,16.76,36.88
2007,5,30.76,33.73
2007,6,31.25,34.33
2007,7,38.74,28.58
2007,8,31.76,38.05
2007,9,11.49,34.74
2007,10,7.73,43.38
2007,11,4.31,40.51
2007,12,2.03,41.75
2008,1,1.44,38.46
2008,2,1.59,36.06
2008,3,4.46,41.32
2008,4,19.00,40.16
2008,5,30.64,30.79
2008,6,33.33,28.13
2008,7,36.60,32.10
2008,8,38.39,30.96
2008,9,16.72,36.38
2008,10,6.23,41.53
2008,11,3.00,40.76
2008,12,2.00,42.94
2009,1,2.31,41.59
2009,2,1.91,41.67
2009,3,6.11,37.01
2009,4,11.08,41.64
2009,5,33.13,36.87
2009,6,30.58,37.80
2009,7,36.54,31.46
2009,8,25.14,37.02
2009,9,14.00,42.57
2009,10,9.19,43.25
2009,11,5.09,44.17
2009,12,3.55,38.18
2010,1,3.19,42.66
2010,2,2.89,38.96
2010,3,3.91,39.34
2010,4,10.48,35.45
2010,5,22.47,36.27
2010,6,36.00,31.99
2010,7,39.48,29.86
2010,8,24.92,34.67
