Year,SCA,CCA
2000-02-01,1.19,76.49
2000-03-01,5.10,65.39
2000-04-01,9.48,60.82
2000-05-01,18.52,58.46
2000-06-01,40.72,63.44
2000-07-01,43.38,64.32
2000-08-01,10.91,58.30
2000-09-01,11.70,62.82
2000-10-01,4.80,59.98
2000-11-01,3.15,63.67
2000-12-01,1.45,68.05
2001-01-01,1.92,69.11
2001-02-01,2.90,62.46
2001-03-01,6.61,52.11
2001-04-01,11.17,46.09
2001-05-01,20.46,61.01
2001-06-01,34.61,63.35
2001-07-01,42.16,72.77
2001-08-01,22.80,54.18
2001-09-01,10.26,52.81
2001-10-01,5.83,52.45
2001-11-01,2.04,72.32
2001-12-01,2.28,54.51
2002-01-01,2.55,63.29
2002-02-01,4.11,50.64
2002-03-01,4.64,58.26
2002-04-01,10.87,57.53
2002-05-01,33.77,51.15
2002-06-01,42.66,67.51
2002-07-01,34.33,33.21
2002-08-01,30.17,62.14
2002-09-01,19.02,55.80
2002-10-01,10.11,39.46
2002-11-01,4.98,47.55
2002-12-01,3.40,44.79
2003-01-01,3.94,51.12
2003-02-01,5.56,42.48
2003-03-01,8.84,38.81
2003-04-01,11.81,29.11
2003-05-01,21.89,38.13
2003-06-01,44.63,44.37
2003-07-01,37.31,49.52
2003-08-01,26.81,34.83
2003-09-01,17.18,45.56
2003-10-01,9.90,39.53
2003-11-01,5.65,42.66
2003-12-01,3.91,54.17
2004-01-01,4.52,45.63
2004-02-01,5.37,39.25
2004-03-01,8.41,28.29
2004-04-01,12.46,36.75
2004-05-01,25.70,34.72
2004-06-01,32.77,42.17
2004-07-01,44.34,44.63
2004-08-01,28.66,45.66
2004-09-01,16.07,42.10
2004-10-01,9.80,43.23
2004-11-01,6.13,37.33
2004-12-01,3.83,49.64
2005-01-01,4.04,45.63
2005-02-01,6.19,24.83
2005-03-01,8.29,47.69
2005-04-01,16.50,42.55
2005-05-01,31.14,45.13
2005-06-01,50.13,55.23
2005-07-01,42.77,43.14
2005-08-01,31.26,48.32
2005-09-01,17.08,46.64
2005-10-01,9.42,34.20
2005-11-01,5.21,32.54
2005-12-01,3.74,51.39
2006-01-01,5.28,46.23
2006-02-01,5.68,37.17
2006-03-01,8.70,48.44
2006-04-01,16.73,41.90
2006-05-01,23.32,32.10
2006-06-01,41.56,40.02
2006-07-01,39.44,44.44
2006-08-01,26.49,41.26
2006-09-01,16.82,48.28
2006-10-01,11.02,40.62
2006-11-01,5.59,40.48
2006-12-01,4.20,48.27
2007-01-01,5.08,45.95
2007-02-01,4.97,43.58
2007-03-01,9.28,45.10
2007-04-01,17.99,44.92
2007-05-01,32.72,35.15
2007-06-01,38.15,40.87
2007-07-01,47.02,43.55
2007-08-01,33.19,44.03
2007-09-01,18.06,52.57
2007-10-01,6.94,51.80
2007-11-01,5.41,42.19
2007-12-01,3.85,55.67
2008-01-01,4.81,38.39
2008-02-01,6.10,43.56
2008-03-01,7.54,41.70
2008-04-01,17.21,36.99
2008-05-01,30.32,28.86
2008-06-01,37.87,32.51
2008-07-01,45.49,46.18
2008-08-01,56.81,52.13
2008-09-01,20.58,49.02
2008-10-01,8.52,44.98
2008-11-01,4.92,44.03
2008-12-01,3.54,47.65
2009-01-01,4.68,42.85
2009-02-01,5.64,37.79
