Year,Month,SCA,CCA
2000,1,0,
2000,2,4.02,63.01
2000,3,11.40,60.72
2000,4,14.73,53.32
2000,5,31.36,70.87
2000,6,50.83,78.41
2000,7,53.88,81.15
2000,8,33.51,64.08
2000,9,23.20,87.88
2000,10,20.80,67.75
2000,11,17.18,73.72
2000,12,9.08,77.21
2001,1,9.41,67.37
2001,2,9.15,65.58
2001,3,15.05,44.65
2001,4,16.47,51.70
2001,5,32.48,77.04
2001,6,32.91,86.42
2001,7,54.48,76.96
2001,8,41.52,76.34
2001,9,29.01,72.24
2001,10,22.52,57.53
2001,11,11.77,66.23
2001,12,12.20,43.80
2002,1,11.42,46.04
2002,2,10.51,27.51
2002,3,15.92,70.04
2002,4,23.69,69.68
2002,5,45.67,82.37
2002,6,58.41,71.75
2002,7,60.08,60.15
2002,8,48.03,65.00
2002,9,31.48,74.32
2002,10,24.66,75.72
2002,11,22.73,59.18
2002,12,17.34,53.00
2003,1,15.75,47.52
2003,2,14.24,36.19
2003,3,13.69,42.83
2003,4,20.60,25.60
2003,5,24.65,45.85
2003,6,64.22,65.53
2003,7,63.56,51.60
2003,8,48.31,62.00
2003,9,31.96,70.58
2003,10,26.66,71.49
2003,11,23.91,58.87
2003,12,15.88,74.62
2004,1,16.46,36.05
2004,2,12.78,15.20
2004,3,14.46,43.34
2004,4,33.76,56.73
2004,5,29.30,43.07
2004,6,59.65,70.83
2004,7,73.84,64.10
2004,8,50.68,51.60
2004,9,35.80,67.86
2004,10,26.95,56.19
2004,11,20.20,54.07
2004,12,15.11,55.62
2005,1,12.83,41.90
2005,2,11.80,16.74
2005,3,15.31,40.71
2005,4,24.71,47.29
2005,5,50.14,62.21
2005,6,70.26,74.73
2005,7,80.52,40.05
2005,8,67.99,55.48
2005,9,58.40,53.22
2005,10,44.08,45.38
2005,11,30.59,59.80
2005,12,18.21,35.98
2006,1,13.59,36.88
2006,2,12.69,36.74
2006,3,16.89,49.29
2006,4,24.71,46.77
2006,5,32.76,47.83
2006,6,62.45,66.35
2006,7,75.98,61.47
2006,8,67.17,55.71
2006,9,52.15,56.01
2006,10,40.99,58.83
2006,11,29.41,54.86
2006,12,15.47,67.77
2007,1,14.58,34.63
2007,2,12.51,31.08
2007,3,13.25,31.01
2007,4,24.39,48.76
2007,5,48.38,50.19
2007,6,66.36,62.70
2007,7,72.40,53.26
2007,8,63.88,50.87
2007,9,55.85,53.87
2007,10,45.45,62.39
2007,11,27.81,46.40
2007,12,16.17,51.30
2008,1,13.32,32.03
2008,2,11.22,23.51
2008,3,12.16,18.93
2008,4,28.58,46.97
2008,5,44.31,47.51
2008,6,63.26,46.89
2008,7,67.56,55.62
2008,8,72.85,59.12
2008,9,54.48,48.86
2008,10,40.16,54.06
2008,11,24.09,48.85
2008,12,14.71,29.90
2009,1,11.16,38.06
2009,2,10.74,49.15
2009,3,13.37,30.44
2009,4,18.29,43.36
2009,5,47.23,60.41
2009,6,66.16,40.29
2009,7,67.07,39.84
2009,8,62.85,63.37
2009,9,56.90,47.00
2009,10,47.48,54.75
2009,11,31.89,70.62
2009,12,19.03,59.85
2010,1,17.10,53.15
2010,2,15.43,41.17
2010,3,14.69,39.09
2010,4,23.52,48.77
2010,5,42.29,46.24
2010,6,60.79,67.17
2010,7,82.40,56.07
2010,8,67.04,49.95
2010,9,54.25,58.57
2010,10,44.06,55.03
2010,11,28.44,48.04
2010,12,17.63,48.68
2011,1,14.13,38.15
2011,2,12.54,38.37
2011,3,14.96,51.52
2011,4,21.77,41.61
2011,5,42.54,50.28
2011,6,61.24,54.45
2011,7,69.10,61.91
2011,8,55.31,59.12
2011,9,53.41,65.99
2011,10,40.13,40.28
2011,11,27.51,50.92
2011,12,15.91,27.67
2012,1,11.90,29.71
2012,2,11.14,48.91
2012,3,11.97,32.72
2012,4,18.70,32.49
2012,5,51.50,71.28
2012,6,69.97,44.73
2012,7,78.32,57.22
2012,8,66.35,56.75
2012,9,53.87,46.45
2012,10,44.15,49.61
2012,11,28.36,44.68
2012,12,13.77,70.10
2013,1,13.85,21.23
2013,2,11.95,31.15
2013,3,12.40,31.71
2013,4,16.33,38.44
2013,5,43.91,48.48
2013,6,62.12,53.73
2013,7,66.02,48.17
2013,8,67.63,69.61
2013,9,57.04,40.83
2013,10,42.47,39.38
2013,11,28.65,51.95
2013,12,14.78,38.10
2014,1,12.83,36.50
2014,2,11.58,27.44
2014,3,13.25,29.32
2014,4,22.89,44.81
2014,5,47.15,54.18
2014,6,75.98,48.56
2014,7,63.15,48.43
2014,8,57.94,64.02
2014,9,48.67,57.86
2014,10,39.39,54.35
2014,11,29.81,61.03
2014,12,16.28,51.09
2015,1,13.59,26.32
2015,2,11.75,20.52
2015,3,14.32,40.92
2015,4,21.15,40.61
2015,5,38.89,60.77
2015,6,64.85,50.46
2015,7,66.59,63.09
2015,8,59.98,62.16
2015,9,50.71,39.25
2015,10,41.40,53.31
2015,11,26.87,44.25
2015,12,14.84,48.16
2016,1,11.50,21.87
2016,2,10.81,33.63
2016,3,11.12,17.82
2016,4,21.03,31.36
2016,5,25.78,51.34
2016,6,34.07,32.80
2016,7,49.45,51.14
2016,8,58.80,71.71
2016,9,43.03,34.75
2016,10,30.04,41.26
2016,11,17.56,44.50
2016,12,10.70,58.05
2017,1,10.66,41.87
2017,2,10.20,34.40
2017,3,11.89,34.43
2017,4,15.29,40.54
2017,5,41.40,56.53
2017,6,76.44,56.44
2017,7,67.61,59.07
2017,8,54.96,65.66
2017,9,52.67,61.90
2017,10,40.39,64.71
2017,11,29.12,41.27
2017,12,16.65,47.12
2018,1,12.35,31.53
2018,2,11.18,27.85
2018,3,19.02,50.88
2018,4,36.51,67.77
2018,5,41.64,55.48
2018,6,62.14,52.56
2018,7,77.67,38.26
2018,8,60.47,56.10
2018,9,45.25,65.27
2018,10,39.88,46.39
2018,11,25.89,44.88
2018,12,14.34,37.75
2019,1,12.74,34.62
2019,2,11.22,23.77
2019,3,12.17,21.71
2019,4,18.79,38.18
2019,5,42.44,57.63
2019,6,66.07,51.17
2019,7,66.41,61.03
2019,8,56.35,57.16
2019,9,49.51,50.18
2019,10,39.30,40.49
2019,11,21.01,52.29
2019,12,14.50,55.52
2020,1,12.27,38.68
2020,2,11.70,29.17
2020,3,11.80,30.70
2020,4,20.01,42.52
2020,5,41.10,48.29
2020,6,68.49,60.58
2020,7,78.95,63.42
2020,8,67.86,58.09
2020,9,55.30,46.80
2020,10,43.92,49.22
2020,11,26.65,41.63
2020,12,14.96,44.22
2021,1,12.18,37.04
2021,2,10.60,13.81
2021,3,10.87,22.48
2021,4,17.53,50.19
2021,5,35.26,41.92
2021,6,60.06,54.85
2021,7,61.88,66.71
2021,8,57.72,63.00
2021,9,44.66,53.71
2021,10,29.69,49.59
2021,11,18.94,35.61
2021,12,12.36,19.93
2022,1,10.61,23.93
2022,2,9.68,21.61
2022,3,14.00,42.89
2022,4,23.72,58.54
2022,5,43.70,42.47
2022,6,62.55,45.63
2022,7,78.13,56.49
2022,8,64.93,58.46
2022,9,49.72,57.56
2022,10,39.66,60.98
2022,11,21.50,40.37
2022,12,12.96,43.47
2023,1,10.21,38.64
2023,2,10.44,31.73
2023,3,13.76,42.63
2023,4,16.41,29.03
2023,5,34.47,49.72
2023,6,74.27,43.24
2023,7,78.95,54.93
2023,8,63.77,69.20
2023,9,55.85,50.38
2023,10,48.70,38.78
2023,11,35.31,60.73
2023,12,18.75,38.20
2024,1,12.20,39.52
2024,2,11.04,40.78
2024,3,15.21,66.99
2024,4,25.31,54.97
2024,5,51.66,60.17
2024,6,66.85,79.19
2024,7,77.09,61.81
