Year,SCA,CCA
2000-02-01,1.67,56.25
2000-03-01,1.61,11.93
2000-04-01,0.85,16.19
2000-05-01,0.65,2.58
2000-06-01,0.61,2.81
2000-07-01,1.74,6.65
2000-08-01,0.46,4.57
2000-09-01,0.37,3.02
2000-10-01,0.60,6.61
2000-11-01,0.13,1.86
2000-12-01,0.37,12.55
2001-01-01,2.14,40.74
2001-02-01,2.64,38.19
2001-03-01,2.89,23.63
2001-04-01,2.09,2.23
2001-05-01,1.90,5.57
2001-06-01,1.72,0.09
2001-07-01,1.59,0.16
2001-08-01,2.50,4.00
2001-09-01,1.23,0.59
2001-10-01,1.01,2.94
2001-11-01,0.59,1.23
2001-12-01,0.70,11.45
2002-01-01,0.39,2.11
2002-02-01,1.72,26.95
2002-03-01,1.89,18.65
2002-04-01,0.91,11.83
2002-05-01,0.98,0.45
2002-06-01,0.77,4.55
2002-07-01,8.49,7.51
2002-08-01,0.81,0.16
2002-09-01,0.62,1.12
2002-10-01,0.75,2.49
2002-11-01,0.58,4.11
2002-12-01,0.42,3.96
2003-01-01,1.10,9.13
2003-02-01,0.91,1.80
2003-03-01,1.58,2.98
2003-04-01,0.85,0.33
2003-05-01,1.32,7.48
2003-06-01,0.52,0.00
2003-07-01,4.48,1.72
2003-08-01,0.54,0.14
2003-09-01,0.32,0.04
2003-10-01,0.26,0.03
2003-11-01,0.25,0.17
2003-12-01,0.38,13.70
2004-01-01,2.17,22.22
2004-02-01,2.09,11.36
2004-03-01,1.31,2.31
2004-04-01,0.88,0.03
2004-05-01,0.64,0.00
2004-06-01,0.46,2.62
2004-07-01,8.23,11.73
2004-08-01,3.97,5.87
2004-09-01,0.86,0.21
2004-10-01,0.38,0.20
2004-11-01,0.21,0.00
2004-12-01,0.50,1.09
2005-01-01,1.33,13.04
2005-02-01,3.64,24.14
2005-03-01,1.45,1.63
2005-04-01,1.07,0.34
2005-05-01,0.83,0.01
2005-06-01,0.63,0.00
2005-07-01,0.95,0.55
2005-08-01,0.42,0.01
2005-09-01,5.24,5.97
2005-10-01,0.37,0.12
2005-11-01,0.21,5.85
2005-12-01,0.70,3.17
2006-01-01,2.04,23.10
2006-02-01,2.17,13.35
2006-03-01,2.30,4.99
2006-04-01,1.52,3.64
2006-05-01,1.18,0.07
2006-06-01,0.89,0.02
2006-07-01,0.74,0.03
2006-08-01,0.63,0.25
2006-09-01,0.51,0.72
2006-10-01,0.36,0.37
2006-11-01,0.37,0.58
2006-12-01,0.42,1.19
2007-01-01,1.23,14.65
2007-02-01,1.09,5.09
2007-03-01,1.67,7.00
2007-04-01,0.85,0.31
2007-05-01,0.58,1.12
2007-06-01,0.46,3.30
2007-07-01,0.35,0.38
2007-08-01,0.31,0.04
2007-09-01,0.28,0.09
2007-10-01,0.17,0.25
2007-11-01,0.33,0.55
2007-12-01,0.50,4.24
2008-01-01,3.08,28.66
2008-02-01,1.61,1.27
2008-03-01,1.55,2.92
2008-04-01,0.72,0.05
2008-05-01,0.49,0.08
2008-06-01,0.38,0.02
2008-07-01,0.36,0.02
2008-08-01,0.77,0.19
2008-09-01,0.27,0.01
2008-10-01,0.20,0.32
2008-11-01,0.13,0.07
2008-12-01,0.51,9.60
2009-01-01,0.78,1.76
2009-02-01,1.09,12.31
2009-03-01,1.36,4.54
2009-04-01,1.13,3.18
2009-05-01,0.50,0.00
2009-06-01,0.32,0.00
2009-07-01,0.36,0.53
2009-08-01,0.25,0.00
2009-09-01,0.21,0.04
2009-10-01,0.16,0.11
2009-11-01,0.37,2.70
2009-12-01,0.24,9.10
2010-01-01,0.53,10.37
2010-02-01,0.71,9.29
2010-03-01,0.87,0.97
2010-04-01,0.45,3.23
2010-05-01,1.40,2.36
2010-06-01,0.26,0.00
2010-07-01,0.21,0.00
2010-08-01,0.16,0.22
2010-09-01,0.13,2.61
2010-10-01,0.10,0.02
2010-11-01,0.07,0.02
2010-12-01,0.56,4.13
2011-01-01,0.96,12.01
2011-02-01,3.59,36.87
2011-03-01,2.06,2.14
2011-04-01,1.47,1.06
2011-05-01,3.29,1.28
2011-06-01,0.92,1.28
2011-07-01,17.23,9.28
2011-08-01,1.47,0.02
2011-09-01,0.73,0.04
2011-10-01,0.32,0.67
2011-11-01,0.30,0.02
2011-12-01,0.83,17.20
2012-01-01,3.17,13.96
2012-02-01,3.48,27.80
2012-03-01,3.07,8.15
2012-04-01,2.98,0.91
2012-05-01,1.84,0.02
2012-06-01,1.49,0.01
2012-07-01,1.32,0.02
2012-08-01,1.18,0.00
2012-09-01,0.92,0.03
2012-10-01,0.57,1.11
2012-11-01,0.44,0.92
2012-12-01,1.36,11.18
2013-01-01,1.91,14.95
2013-02-01,1.39,6.10
2013-03-01,1.30,2.64
2013-04-01,0.79,0.00
2013-05-01,1.44,9.08
2013-06-01,6.68,7.50
2013-07-01,2.71,1.25
2013-08-01,0.67,0.34
2013-09-01,0.40,0.08
2013-10-01,0.31,0.39
2013-11-01,0.22,0.03
2013-12-01,0.99,8.32
2014-01-01,1.97,10.33
2014-02-01,0.62,0.47
2014-03-01,0.44,0.16
2014-04-01,0.76,0.34
2014-05-01,0.57,0.84
2014-06-01,0.22,0.00
2014-07-01,0.22,0.01
2014-08-01,0.39,0.33
2014-09-01,0.23,2.10
2014-10-01,0.39,0.63
2014-11-01,0.23,2.17
2014-12-01,0.17,1.69
2015-01-01,1.01,11.42
2015-02-01,1.69,13.71
2015-03-01,1.63,6.35
2015-04-01,1.78,7.92
2015-05-01,1.55,0.19
2015-06-01,0.90,0.00
2015-07-01,0.74,0.26
2015-08-01,0.59,0.13
2015-09-01,0.36,0.62
2015-10-01,0.21,6.13
2015-11-01,0.13,1.36
2015-12-01,0.07,4.16
2016-01-01,0.17,1.41
2016-02-01,0.97,21.01
2016-03-01,0.64,0.06
2016-04-01,1.12,5.44
2016-05-01,0.36,0.00
2016-06-01,1.08,0.06
2016-07-01,4.92,2.87
2016-08-01,0.27,0.00
2016-09-01,0.30,0.07
2016-10-01,0.14,2.13
2016-11-01,0.08,0.65
2016-12-01,0.28,0.98
2017-01-01,1.53,23.35
2017-02-01,1.42,17.06
2017-03-01,1.84,10.51
2017-04-01,1.10,1.76
2017-05-01,1.25,7.41
2017-06-01,3.12,2.71
2017-07-01,0.61,0.00
2017-08-01,0.40,0.00
2017-09-01,0.35,0.21
2017-10-01,0.21,1.34
2017-11-01,0.16,0.56
2017-12-01,0.42,7.40
2018-01-01,1.49,10.59
2018-02-01,2.28,23.65
2018-03-01,1.39,3.04
2018-04-01,1.12,1.02
2018-05-01,0.79,0.00
2018-06-01,17.90,16.97
2018-07-01,11.79,15.18
2018-08-01,6.26,2.14
2018-09-01,0.74,0.04
2018-10-01,0.35,0.33
2018-11-01,0.22,0.12
2018-12-01,0.57,8.07
2019-01-01,1.50,24.53
2019-02-01,2.72,19.29
2019-03-01,1.24,0.58
2019-04-01,1.01,0.35
2019-05-01,0.71,0.53
2019-06-01,0.49,0.94
2019-07-01,2.02,0.53
2019-08-01,0.48,0.00
2019-09-01,0.60,2.08
2019-10-01,0.23,1.83
2019-11-01,0.46,1.28
2019-12-01,0.39,4.45
2020-01-01,1.50,17.26
2020-02-01,1.90,20.94
2020-03-01,1.98,4.95
2020-04-01,1.33,0.32
2020-05-01,0.94,0.61
2020-06-01,0.80,0.01
2020-07-01,0.63,0.00
2020-08-01,0.63,0.14
2020-09-01,0.44,1.79
2020-10-01,0.84,4.72
2020-11-01,0.36,0.67
2020-12-01,0.69,10.13
2021-01-01,1.34,6.68
2021-02-01,1.01,3.60
2021-03-01,2.03,3.66
2021-04-01,0.84,1.32
2021-05-01,0.80,2.47
2021-06-01,0.45,0.01
2021-07-01,0.54,0.27
2021-08-01,0.37,0.01
2021-09-01,0.28,4.66
2021-10-01,0.15,0.02
2021-11-01,0.18,1.79
2021-12-01,1.39,28.62
2022-01-01,2.82,20.62
2022-02-01,1.60,6.42
2022-03-01,1.98,2.90
2022-04-01,0.96,1.11
2022-05-01,1.01,0.12
2022-06-01,0.82,0.23
2022-07-01,0.58,0.05
2022-08-01,0.48,0.02
2022-09-01,0.37,0.00
2022-10-01,0.22,0.01
2022-11-01,0.49,0.28
2022-12-01,1.23,10.54
2023-01-01,0.79,6.35
2023-02-01,1.27,12.26
2023-03-01,1.67,2.90
2023-04-01,1.45,0.04
2023-05-01,0.68,0.81
2023-06-01,0.35,0.00
2023-07-01,0.26,0.01
2023-08-01,0.22,0.00
2023-09-01,0.17,0.00
2023-10-01,0.41,1.83
2023-11-01,0.43,2.02
2023-12-01,0.60,7.83
2024-01-01,0.53,2.30
2024-02-01,0.93,23.59
2024-03-01,1.19,3.81
2024-04-01,0.75,0.21
2024-05-01,0.53,3.70
2024-06-01,0.40,0.04
2024-07-01,0.31,3.91
