Year,Elevation,SCA,CCA
01-02-2000,100,0,72.67171893
01-02-2000,200,0,73.47105104
01-02-2000,300,0,75.62111818
01-02-2000,400,0,73.37876698
01-02-2000,500,0,73.88201603
01-02-2000,600,0,73.7725109
01-02-2000,700,0,74.33605449
01-02-2000,800,0,74.10653757
01-02-2000,900,0,74.9743944
01-02-2000,1000,0,74.57579565
01-02-2000,1100,0.048755148,74.6911583
01-02-2000,1200,0.109830979,74.76284171
01-02-2000,1300,0.084235259,74.68019886
01-02-2000,1400,0.259427173,74.25936421
01-02-2000,1500,1.691229367,73.29007086
01-02-2000,1600,3.778518121,74.06591895
01-02-2000,1700,5.845169596,76.97063399
01-02-2000,1800,13.46686954,81.49843526
01-02-2000,1900,23.81447801,87.47495376
01-02-2000,2000,21.11512483,90.05696392
01-02-2000,2100,20.32138314,94.45432362
01-02-2000,2200,16.74285515,95.0108176
01-02-2000,2300,43.21003135,86.62695925
01-02-2000,2400,31.69001596,91.57652066
01-02-2000,2500,29.22465209,91.41650099
01-02-2000,2600,42.98795181,89.25301205
01-02-2000,2700,67.25212465,83.18696884
01-02-2000,2800,48.48711244,87.87822189
01-02-2000,2900,35.46864464,91.13283884
01-02-2000,3000,20.71005917,94.82248521
01-02-2000,3100,58.51602024,85.37099494
01-02-2000,3200,0,100
01-02-2000,3300,1.351351351,99.66216216
01-02-2000,3400,2.702702703,99.32432432
01-03-2000,100,0.021328129,24.75162469
01-03-2000,200,0.0272723,23.04669715
01-03-2000,300,0.005371108,21.30968127
01-03-2000,400,0.005411719,22.08030877
01-03-2000,500,0.004180147,21.43855063
01-03-2000,600,0.004117321,22.10081863
01-03-2000,700,0,22.53430453
01-03-2000,800,0,22.06509837
01-03-2000,900,0.001275259,21.95085637
01-03-2000,1000,0.004073978,21.52303395
01-03-2000,1100,0.012344803,21.29069152
01-03-2000,1200,0.031570021,21.92134751
01-03-2000,1300,0.10880646,22.66284875
01-03-2000,1400,0.262464018,24.09355582
01-03-2000,1500,0.552895055,26.87711762
01-03-2000,1600,1.745310448,30.14543463
01-03-2000,1700,4.332468739,34.7575776
01-03-2000,1800,8.77055057,39.61384541
