Year,Snowline_elev
2000-02-01,1095.4828354489757
2000-03-01,900.2483897801544
2000-04-01,819.8399009756806
2000-05-01,
2000-06-01,
2000-07-01,1464.6206896551723
2000-08-01,1252.3025021085184
2000-09-01,980.9678590706118
2000-10-01,937.3074141048824
2000-11-01,906.6991707539061
2000-12-01,850.1683905363242
2001-01-01,965.5503842355039
2001-02-01,1030.1374500822176
2001-03-01,717.2659377674701
2001-04-01,763.4758380035951
2001-05-01,564.1583850931678
2001-06-01,992.1315906883974
2001-07-01,
2001-08-01,1340.4040258806613
2001-09-01,1389.5877401646846
2001-10-01,826.1036131973244
2001-11-01,928.6120607403335
2001-12-01,1019.1200529742856
2002-01-01,935.06073368888
2002-02-01,931.9636265069573
2002-03-01,859.6094940486639
2002-04-01,744.7176951394522
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,1263.0386206896553
2002-10-01,1066.5740418118467
2002-11-01,682.40580620837
2002-12-01,782.3854839926561
2003-01-01,835.4770020398764
2003-02-01,902.669041547923
2003-03-01,888.6132399518224
2003-04-01,772.1232888968418
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,1408.9762741652023
2003-10-01,993.6388045762315
2003-11-01,611.5389939122077
2003-12-01,718.4838765185671
2004-01-01,832.5586260581882
2004-02-01,908.2452253447703
2004-03-01,942.9802240112004
2004-04-01,538.3668723303275
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,631.6133113051688
2004-11-01,734.7010908615847
2004-12-01,894.6971848634197
2005-01-01,904.5534519538446
2005-02-01,921.6520204001569
2005-03-01,832.1091091362307
2005-04-01,727.859611805371
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,468.448322147651
2005-11-01,919.8404967664394
2005-12-01,796.9457457191021
2006-01-01,873.2155562051674
2006-02-01,930.2832505621031
2006-03-01,854.5247485703019
2006-04-01,591.5510204081633
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,575.5833333333334
2006-11-01,642.7491267068912
2006-12-01,940.7105326803317
2007-01-01,887.3184767113721
2007-02-01,864.2206060948398
2007-03-01,859.3335129745897
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,652.8369055592766
2007-12-01,857.3070816051298
2008-01-01,871.922941464937
2008-02-01,950.4500310366232
2008-03-01,933.6449489408386
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,699.3578777189888
2008-11-01,661.9861950337405
2008-12-01,907.560645639206
2009-01-01,919.5129022762951
2009-02-01,905.8781735769304
2009-03-01,883.9645895220094
2009-04-01,638.4791334093501
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,1383.4368048533872
2009-10-01,
2009-11-01,1009.8412286575156
2009-12-01,769.1337747568263
2010-01-01,668.4202633185107
2010-02-01,889.1806487598266
2010-03-01,886.0531344674899
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,1272.8469417617794
2010-10-01,1226.145173453997
2010-11-01,658.2832313857836
2010-12-01,720.6065594110593
2011-01-01,817.8782519571712
2011-02-01,933.6024779417829
2011-03-01,831.9532280219781
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,1417.0716332378224
2011-09-01,1408.7070610687026
2011-10-01,927.8671116504855
2011-11-01,758.1357695385437
2011-12-01,803.513500722363
2012-01-01,912.6041344430533
2012-02-01,913.6163562039509
2012-03-01,904.9631164996167
2012-04-01,660.4246575342465
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,747.2988365284247
2012-12-01,801.4786973907538
2013-01-01,890.624991332085
2013-02-01,939.1906384971637
2013-03-01,878.8225509817705
2013-04-01,702.2
2013-05-01,
2013-06-01,
2013-07-01,
2013-08-01,
2013-09-01,
2013-10-01,
2013-11-01,686.8980293892805
2013-12-01,921.9650457887269
2014-01-01,881.8475872328207
2014-02-01,899.3632184449999
2014-03-01,878.3714016829051
2014-04-01,
2014-05-01,
2014-06-01,
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,730.421531200111
2014-11-01,609.9671243728545
2014-12-01,743.7412474155756
2015-01-01,915.2737732730124
2015-02-01,943.6025240873932
2015-03-01,696.3427575157854
2015-04-01,587.8704088704088
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,580.2039503904456
2015-11-01,711.7739577476102
2015-12-01,775.1284466911765
2016-01-01,938.0921305182344
2016-02-01,941.4732944889535
2016-03-01,927.2282743311134
2016-04-01,675.2630365888795
2016-05-01,669.6153846153846
2016-06-01,
2016-07-01,
2016-08-01,
2016-09-01,
2016-10-01,696.4399540229886
2016-11-01,810.0896664844176
2016-12-01,930.5106274761753
2017-01-01,924.8620108129559
2017-02-01,986.9981750287783
2017-03-01,932.4026193174661
2017-04-01,676.8802935330987
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,1375.652113070249
2017-11-01,781.7907853889224
2017-12-01,793.1328125000001
2018-01-01,912.5686549647922
2018-02-01,904.4249555124699
2018-03-01,617.6562269712601
2018-04-01,
2018-05-01,
2018-06-01,
2018-07-01,
2018-08-01,
2018-09-01,
2018-10-01,638.8
2018-11-01,613.7811513365607
2018-12-01,935.2276106097594
2019-01-01,943.1457548762434
2019-02-01,914.3852974533457
2019-03-01,935.0768542592745
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,599.7588291441297
2019-11-01,700.9672042720752
2019-12-01,877.2675512138226
2020-01-01,931.211793136781
2020-02-01,939.3462773117943
2020-03-01,873.5877456711759
2020-04-01,683.4570717941359
2020-05-01,
2020-06-01,
2020-07-01,
2020-08-01,
2020-09-01,1336.5116500237757
2020-10-01,1474.1392978482447
2020-11-01,770.5604017611447
2020-12-01,817.4117924974016
2021-01-01,903.8265423605063
2021-02-01,946.2028147501638
2021-03-01,916.6017243776939
2021-04-01,678.6797392492903
2021-05-01,
2021-06-01,
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,614.481121085452
2021-11-01,751.5405887818475
2021-12-01,891.7746554196953
2022-01-01,951.6105496066436
2022-02-01,956.4235447316654
2022-03-01,939.195460474824
2022-04-01,
2022-05-01,
2022-06-01,
2022-07-01,
2022-08-01,
2022-09-01,
2022-10-01,558.2445494186046
2022-11-01,745.0996916063289
2022-12-01,889.4891709678213
2023-01-01,976.7246178232718
2023-02-01,873.1852542494445
2023-03-01,961.3298741849574
2023-04-01,635.3333333333334
2023-05-01,
2023-06-01,
2023-07-01,
2023-08-01,
2023-09-01,
2023-10-01,1468.5772727272729
2023-11-01,
2023-12-01,732.4950675222681
2024-01-01,915.8275938027758
2024-02-01,967.9749365026119
2024-03-01,911.8312933195693
2024-04-01,805.1185688729875
2024-05-01,
2024-06-01,
2024-07-01,
2024-08-01,
2024-09-01,1091.795918367347
2024-10-01,709.5441176470588
