system:index,CCA,Date,Elevation,SCA,.geo
Andes_MCDS4S5_Yearly_Monthly_2000_02_0_Andes_MCDS4S5_Yearly_Monthly_2000_02_0,0.00,2000-02-01,3400.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_1_Andes_MCDS4S5_Yearly_Monthly_2000_02_1,0.00,2000-02-01,3500.0,0.48,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_2_Andes_MCDS4S5_Yearly_Monthly_2000_02_2,0.00,2000-02-01,3600.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_3_Andes_MCDS4S5_Yearly_Monthly_2000_02_3,0.00,2000-02-01,3700.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_4_Andes_MCDS4S5_Yearly_Monthly_2000_02_4,0.00,2000-02-01,3800.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_5_Andes_MCDS4S5_Yearly_Monthly_2000_02_5,0.00,2000-02-01,3900.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_6_Andes_MCDS4S5_Yearly_Monthly_2000_02_6,0.00,2000-02-01,4000.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_7_Andes_MCDS4S5_Yearly_Monthly_2000_02_7,0.82,2000-02-01,4100.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_8_Andes_MCDS4S5_Yearly_Monthly_2000_02_8,1.27,2000-02-01,4200.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_9_Andes_MCDS4S5_Yearly_Monthly_2000_02_9,1.75,2000-02-01,4300.0,1.12,"{""type"":""MultiPoint"",""coordinates"":[]}"
